Date_str,views_as_of_Jan-15-18,song_parody,video_title,trasncript,transcript source,video_link,vid length (min)
"Oct 30, 2011","15,219",n,"""Bea Arthur and Randy Rainbow's Halloween Special""",beaArthurRandyHalloween.txt,youtube,https://www.youtube.com/watch?v=8kzBfEw44M4,4:08
"Oct 17, 2011","7,444",n,"""The Fundraiser""",theFundraiser.txt,youtube,https://www.youtube.com/watch?v=YmHu2JRtRug,5:26
"Jul 24, 2011","16,042",n,"""Marcus Bachmann Is Not Getting Married to Randy Rainbow""",marcusBachmannNotGettingMarried.txt,youtube,https://www.youtube.com/watch?v=mNlTI-P6yTY,5:12
"May 1, 2011","39,350",n,"""Royal Wedding: The Morning After""",royalWedding.txt,youtube,https://www.youtube.com/watch?v=XlJWmrK7Bu8,4:52
"Apr 6, 2011","23,396",y,"""American Idol Welcomes Back Randy Rainbow""",americanIdolWelcomesBack.txt,youtube,https://www.youtube.com/watch?v=uUI3OGHfk9g,5:05
"Feb 27, 2011","15,752",n,"""Charlie Sheen Is Randy Rainbow's New Boyfriend""",charlieSheenRandysNewBoyfriend.txt,youtube,https://www.youtube.com/watch?v=iHBqXGLsQI0,4:42
"Feb 13, 2011","46,245",n,"""Mel Gibson and Randy Rainbow Seek Counseling""",melGibsonRandySeekCounseling.txt,youtube,https://www.youtube.com/watch?v=N__uN_l4Gsc,5:40
"Jan 25, 2011","175,348",n,"""American Idol Audition""",americanIdolAudition.txt,youtube,https://www.youtube.com/watch?v=QHoh82ZwDjw,5:05
"Jan 9, 2011","9,068",n,"""Spider-Man Cast Saved by Randy Rainbow""",spiderManCastSaved.txt,youtube,https://www.youtube.com/watch?v=VChJ4SnyfdQ,5:13
"Dec 13, 2010","11,583",n,"""Mel Gibson Spends Christmas with Randy Rainbow""",melGibsonSpendsChristmas.txt,youtube,https://www.youtube.com/watch?v=JLfxq7t2KX4,4:39
"Nov 18, 2010","8,586",n,"""Kanye West Kicks It With Randy Rainbow""",kanyeWestKicksIt.txt,youtube,https://www.youtube.com/watch?v=icVRIlkn0hk,3:29
"Oct 25, 2010","9,581",n,"""Randy Rainbow Stars In a Show!""",randyRainbowStars.txt,youtube,https://www.youtube.com/watch?v=YNOzRXKzEfk,4:34
"Oct 3, 2010","11,046",n,"""Rachel Zoe Hires Randy Rainbow!""",rachelZoeHiresRandy.txt,youtube,https://www.youtube.com/watch?v=h3qu6KgoORo,4:55
"Sep 13, 2010","30,146",n,"""Randy Rainbow Getting Married?""",randyRainbowGettingMarried.txt,youtube,https://www.youtube.com/watch?v=3jkRjULDoFk,5:57
"Aug 30, 2010","45,427",n,"""Lindsay Lohan Gets a Call from Randy Rainbow""",lindsayLohanGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=b3bP3t4u8rg,4:18
"Aug 19, 2010","22,833",n,"""Dr. Laura Gets a Call from Randy Rainbow""",drLauraGetsCallFromRandy.txt,youtube,https://www.youtube.com/watch?v=h7TQRPqK6ig,3:04
"Aug 1, 2010","45,815",n,"""Chelsea Clinton's Wedding: The Morning After""",chelseaClintonWedding.txt,youtube,https://www.youtube.com/watch?v=m1ifaaeii3k,3:23
"May 27, 2010","4,051",n,"""American Idol Reaction""",none,none,https://www.youtube.com/watch?v=EW3CCkdhTic,1:24
"May 23, 2010","16,667",n,"""The Oprah Audition""",oprahAudition.txt,youtube,https://www.youtube.com/watch?v=oJEVnkNY6Sk,5:41
"May 2, 2010","3,915",n,"""Previously On""",previouslyOn.txt,youtube,https://www.youtube.com/watch?v=iOapmFuX6uc,3:01
"Jan 3, 2010","9,090",n,"""Randy Rainbow's Vision Board""",visionBoard.txt,youtube,https://www.youtube.com/watch?v=vu_5dOXzmN8,7:05
"Nov 22, 2009","5,895",n,"""Chad Kimball of the Broadway Show Memphis Interviewed""",chadKimballInterview.txt,youtube,https://www.youtube.com/watch?v=sCBzx1Nc2Rc,9:59
"May 4, 2009","23,480",n,"""Miranda Gives Voice Lessons to Randy Rainbow""",mirandaVoiceLessons.txt,youtube,https://www.youtube.com/watch?v=GWko3MBcGHg,7:14
