Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_March-9-18,views_as_of_Feb-21-18,video_title
"Feb 22, 2016","51,194","51,511",y,jobBushGOPdropout.txt,youtube,https://www.youtube.com/watch?v=7BntyhRqBAA,3:17,"52,772","52,242","""Jeb Bush GOP DROPOUT"""
"Feb 12, 2016","77,885","79,462",y,carlyFiorinaGOPdropout.txt,youtube,https://www.youtube.com/watch?v=jmssam01R2M,3:12,"84,673","82,983","""Carly Fiorina GOP DROPOUT"""
"Jan 18, 2016","147,033","149,309",y,none,none,https://www.youtube.com/watch?v=jDxSg1fSrws,2:19,"154,932","153,051","""Randy Rainbow Performs at a Donald Trump Rally"""
"Dec 24, 2015","12,135","12,281",n,merryJewishChristmas.txt,youtube,https://www.youtube.com/watch?v=TK4PRgXXm9U,1:31,"12,685","12,546","""Merry Jewish Christmas"""
"Oct 21, 2015","42,254","42,576",n,trickOrTreatsKimDavis.txt,youtube,https://www.youtube.com/watch?v=BgwRl_T1aP8,3:54,"43,854","43,427","""Randy Rainbow Trick-or-Treats Kim Davis"""
"Sep 7, 2015","473,455","475,325",y,kimDavisCellBlockTango.txt,youtube,https://www.youtube.com/watch?v=14C3TZg6NQM,3:31,"482,949","480,516","""The KIM DAVIS Cell Block Tango - Randy Rainbow"""
"Jun 1, 2015","21,888","21,969",n,randyShiaGetReadyForBed.txt,youtube,https://www.youtube.com/watch?v=jD-JqOXCrEo,1:03,"22,271","22,162","""Randy Rainbow And Shia LaBeouf Get Ready For Bed"""
"Apr 23, 2015","31,282","31,486",n,interviewsRobertDowneyJr.txt,youtube,https://www.youtube.com/watch?v=Rq0XX8AcDH0,2:49,"31,973","31,783","""Randy Rainbow Interviews Robert Downey Jr."""
"Mar 29, 2015","160,979","161,459",y,aSongForIndiana.txt,youtube,https://www.youtube.com/watch?v=cUA9m-g12ag,2:13,"163,258","162,647","""A Song for Indiana - Randy Rainbow"""
"Dec 23, 2014","21,813","22,376",n,none,none,https://www.youtube.com/watch?v=5bkjyHwSJYk,2:41,"23,967","23,478","""Merry Christmas from Randy Rainbow & Bill Cosby!"""
"May 20, 2014","9,284","9,381",n,donaldSterlingTalksToRandyRainbow.txt,youtube,https://www.youtube.com/watch?v=NcMWEgmI84M,3:00,"9,745","9,607","""Donald Sterling Talks to Randy Rainbow"""
"Mar 6, 2014","84,456","85,693",y,adeleDazeem.txt,youtube,https://www.youtube.com/watch?v=6SgGxP5TqSE,3:26,"89,406","88,361","""ADELE DAZEEM"""
"Dec 25, 2013","55,478","56,200",n,aJewForChristmas.txt,youtube,https://www.youtube.com/watch?v=wsZyELYDzO0,3:18,"58,063","57,449","""Randy Rainbow: A Jew for Christmas"""
"Aug 30, 2013","7,529","7,777",n,behindTheTiara.txt,youtube,https://www.youtube.com/watch?v=sYTzq70TsFo,5:50,"8,568","8,358","""Behind the Tiara - Randy Rainbow and Ivy Profen"""
"Aug 1, 2013","52,405","52,846",n,anthonyWeinerDatingRandy.txt,youtube,https://www.youtube.com/watch?v=3BBiN98XVvE,4:02,"54,497","53,966","""Anthony Weiner is Dating Randy Rainbow"""
"Jan 26, 2013","4,003","4,044",n,newRandyRainbowShow.txt,youtube,https://www.youtube.com/watch?v=J_JkjjdgaWA,1:28,"4,184","4,129","""NEW RANDY RAINBOW SHOW!"""
