Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2020-09-13,2020-08-17,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,2019-04-02,2019-04-29,2019-05-28,2019-07-22,2019-08-29,2019-10-17,2019-11-22,2020-01-20,2020-02-18,2020-03-03,2020-03-14,2020-03-22,2020-04-06,2020-04-25,2020-05-19,2020-06-07,2020-06-29,2020-07-06,2020-07-22,2020-08-10,,RemovedFromYoutube
"Feb 19, 2019",y,borderLies.txt,youtube,4:34,EInIEuNSMrI,.mkv,https://www.youtube.com/watch?v=EInIEuNSMrI,"923,392","908,169","""BORDER LIES""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,794","479,472","527,813","532,690","550,923","574,682","638,404","686,173","745,423","774,024","793,485","800,750","805,440","808,212","811,126","816,793","826,092","846,088","856,420","869,733","878,194","891,214","903,573",,
"Jan 28, 2019",y,donaldCellBlockTango.txt,youtube,4:33,ihvgfU_g7LI,.webm,https://www.youtube.com/watch?v=ihvgfU_g7LI,"1,316,705","1,283,617","""The Donald Trump CELL BLOCK TANGO (Part One)""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"95,430","676,796","734,864","778,453","783,675","801,718","823,136","877,027","927,504","987,987","1,032,425","1,074,048","1,088,542","1,098,296","1,103,459","1,108,413","1,118,490","1,135,084","1,169,026","1,187,545","1,213,448","1,226,701","1,248,258","1,276,269",,
"Jan 14, 2019",y,nothingLikeAWall.txt,youtube,4:44,ZL5CDt_1xcE,.webm,https://www.youtube.com/watch?v=ZL5CDt_1xcE,"1,290,418","1,260,935","""THERE IS NOTHIN' LIKE A WALL""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,145","611,536","715,995","753,175","783,737","787,808","803,577","822,306","881,115","935,256","996,564","1,020,147","1,052,044","1,063,598","1,071,429","1,076,111","1,080,802","1,090,484","1,106,240","1,149,049","1,171,030","1,198,203","1,211,782","1,230,207","1,253,289",,
"Dec 5, 2018",y,tumpFavoriteThings.txt,youtube,4:36,Nv4207c9M74,.webm,https://www.youtube.com/watch?v=Nv4207c9M74,"1,898,295","1,826,363","""Trump's Favorite Things!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,899","651,476","692,594","753,420","780,750","809,750","814,224","834,263","857,114","991,635","1,084,799","1,195,785","1,249,594","1,319,527","1,344,819","1,358,379","1,366,660","1,376,196","1,398,813","1,442,719","1,596,148","1,649,504","1,698,859","1,728,766","1,765,111","1,809,402",,
"Nov 5, 2018",y,voting.txt,youtube,4:54,-jDGQHaWiNQ,.webm,https://www.youtube.com/watch?v=-jDGQHaWiNQ,"743,092","698,635","""VOTING!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,431","353,571","393,719","406,203","430,966","440,220","449,740","451,460","457,674","464,724","483,762","504,769","524,927","535,385","546,456","552,237","557,392","560,542","563,492","568,347","575,981","596,419","611,114","637,337","652,406","668,821","688,509",,
"Oct 15, 2018",y,beBest.txt,youtube,4:28,HJVXDqzUFQA,.webm,https://www.youtube.com/watch?v=HJVXDqzUFQA,"1,832,897","1,742,921","""Just BE BEST!""",0,0,0,0,0,0,0,0,0,0,0,0,0,"45,240","440,104","517,733","597,324","624,315","684,582","711,882","743,716","748,995","770,380","799,917","884,987","971,301","1,081,433","1,123,514","1,193,261","1,215,254","1,231,655","1,242,665","1,253,640","1,280,702","1,313,799","1,399,727","1,446,014","1,520,341","1,579,256","1,656,578","1,729,810",,
"Sep 24, 2018",y,kavenaugh.txt,youtube,4:44,6gG0-6Ntx7w,.mkv,https://www.youtube.com/watch?v=6gG0-6Ntx7w,"953,594","936,888","""KAVANAUGH!""",0,0,0,0,0,0,0,0,0,0,0,0,"55,808","499,481","553,197","577,874","607,354","616,785","637,162","646,482","657,685","659,524","665,817","677,978","709,854","734,869","764,018","780,038","797,021","811,722","817,623","822,660","824,995","829,722","838,117","859,147","870,098","888,602","900,427","919,475","932,374",,
"Aug 27, 2018",y,ifEverGotImpeached.txt,youtube,4:04,sWTiFcl9OhU,.webm,https://www.youtube.com/watch?v=sWTiFcl9OhU,"1,596,026","1,584,198","""IF YOU EVER GOT IMPEACHED""",0,0,0,0,0,0,0,0,0,0,0,"43,719","667,127","722,059","762,215","796,597","888,083","917,804","980,580","1,007,355","1,032,939","1,036,662","1,052,077","1,072,039","1,124,764","1,183,234","1,346,269","1,393,325","1,468,317","1,489,394","1,495,597","1,498,763","1,501,469","1,506,649","1,513,807","1,531,280","1,542,167","1,555,550","1,561,740","1,571,495","1,580,978",,
"Aug 21, 2018",y,omarosa.txt,youtube,4:22,7Bv_BWUmWN4,.webm,https://www.youtube.com/watch?v=7Bv_BWUmWN4,"916,635","909,210","""OMAROSA!""",0,0,0,0,0,0,0,0,0,0,"65,886","338,084","489,949","520,665","543,993","565,408","598,642","610,911","636,061","651,891","667,600","670,173","677,361","690,060","718,503","760,055","796,933","810,473","824,343","830,610","834,634","836,801","838,796","844,158","852,800","867,518","876,043","886,279","890,302","899,279","907,075",,
"Jul 16, 2018",y,stableGenius.txt,youtube,3:12,k-LTRwZb35A,.webm,https://www.youtube.com/watch?v=k-LTRwZb35A,"3,331,372","3,287,551","""A VERY STABLE GENIUS""",0,0,0,0,0,0,0,0,0,"6,212","1,426,860","1,481,779","1,639,039","1,704,857","1,755,800","1,814,698","1,896,143","1,922,205","1,968,448","1,998,407","2,025,987","2,030,228","2,050,914","2,160,303","2,375,099","2,458,858","2,574,018","2,627,727","2,688,700","2,724,981","2,742,022","2,754,145","2,766,862","2,794,583","2,879,676","3,047,526","3,105,345","3,167,315","3,193,870","3,233,541","3,275,688",,
"Jun 21, 2018",y,wtf.txt,youtube,4:29,ygYA7Au9th0,.mkv,https://www.youtube.com/watch?v=ygYA7Au9th0,"810,634","793,073","""WTF, YOU GUYS!?""",0,0,0,0,0,0,0,0,"11,039","209,860","304,086","321,526","384,845","406,863","427,133","444,560","473,435","484,063","506,894","518,307","531,181","533,268","541,570","552,261","588,628","616,226","641,933","658,028","675,149","684,348","688,721","691,931","694,465","699,979","707,913","725,535","738,644","755,321","762,740","776,979","788,811",,
"Jun 8, 2018",y,commanderOfCheese.txt,youtube,4:14,XFZU1XLwZGg,.mkv,https://www.youtube.com/watch?v=XFZU1XLwZGg,"576,112","564,051","""COMMANDER OF CHEESE!""",0,0,0,0,0,0,0,"13,693","137,239","164,276","200,609","206,934","229,496","238,345","249,213","260,134","277,563","286,036","305,972","319,521","334,342","338,273","346,795","355,411","370,936","394,869","421,362","431,115","441,451","446,190","449,232","451,434","453,526","458,487","465,580","489,381","508,432","526,902","535,045","549,254","561,295",,
"May 7, 2018",y,rudyAndTheBeast.txt,youtube,4:43,rLtEaZtz1E4,.mkv,https://www.youtube.com/watch?v=rLtEaZtz1E4,"1,182,591","1,166,473","""RUDY and the BEAST""",0,0,0,0,0,0,"7,023","228,008","249,666","274,453","376,637","413,077","524,073","557,405","583,173","604,431","662,261","695,527","748,897","773,747","794,627","798,146","808,977","821,372","860,295","895,894","974,091","1,000,300","1,021,828","1,032,673","1,037,800","1,040,783","1,043,255","1,049,731","1,058,179","1,079,902","1,095,717","1,120,861","1,131,561","1,148,016","1,162,515",,
"Apr 9, 2018",y,none,none,5:01,EBZbwdCHorQ,.webm,https://www.youtube.com/watch?v=EBZbwdCHorQ,"884,835","863,133","""YOU CAN'T STOP HIS TWEETS!""",0,0,0,0,0,"126,308","155,126","198,826","209,029","227,016","287,230","298,777","339,000","352,959","366,212","382,313","412,949","423,915","447,026","456,868","469,645","472,296","483,089","498,637","531,234","560,872","587,272","606,725","627,319","639,174","643,670","647,118","650,659","662,324","680,332","722,638","765,510","796,231","814,343","837,668","857,103",,
"Mar 16, 2018",n,devos.txt,youtube,3:51,hRQNtWLCSh0,.mkv,https://www.youtube.com/watch?v=hRQNtWLCSh0,"452,826","443,619","""Randy Rainbow Interviews Betsy DeVos!""",0,0,0,0,"36,811","140,000","146,172","159,379","163,226","171,180","201,359","207,434","237,540","248,069","255,984","263,765","280,110","285,601","297,853","304,863","311,554","316,530","321,307","324,314","333,737","341,184","351,042","356,044","361,392","363,841","365,495","366,560","367,630","370,171","374,061","382,506","389,938","402,616","409,041","425,488","440,597",,
