Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_March-17-18,views_as_of_March-9-18,video_title,views_as_of_Feb-21-18
"Jun 1, 2015","21,888","21,969",n,randyShiaGetReadyForBed.txt,youtube,https://www.youtube.com/watch?v=jD-JqOXCrEo,1:03,"22,313","22,271","""Randy Rainbow And Shia LaBeouf Get Ready For Bed""","22,162"
"Apr 23, 2015","31,282","31,486",n,interviewsRobertDowneyJr.txt,youtube,https://www.youtube.com/watch?v=Rq0XX8AcDH0,2:49,"32,061","31,973","""Randy Rainbow Interviews Robert Downey Jr.""","31,783"
"Mar 29, 2015","160,979","161,459",y,aSongForIndiana.txt,youtube,https://www.youtube.com/watch?v=cUA9m-g12ag,2:13,"163,518","163,258","""A Song for Indiana - Randy Rainbow""","162,647"
"Dec 23, 2014","21,813","22,376",n,none,none,https://www.youtube.com/watch?v=5bkjyHwSJYk,2:41,"24,177","23,967","""Merry Christmas from Randy Rainbow & Bill Cosby!""","23,478"
"May 20, 2014","9,284","9,381",n,donaldSterlingTalksToRandyRainbow.txt,youtube,https://www.youtube.com/watch?v=NcMWEgmI84M,3:00,"9,818","9,745","""Donald Sterling Talks to Randy Rainbow""","9,607"
"Mar 6, 2014","84,456","85,693",y,adeleDazeem.txt,youtube,https://www.youtube.com/watch?v=6SgGxP5TqSE,3:26,"89,728","89,406","""ADELE DAZEEM""","88,361"
"Dec 25, 2013","55,478","56,200",n,aJewForChristmas.txt,youtube,https://www.youtube.com/watch?v=wsZyELYDzO0,3:18,"58,236","58,063","""Randy Rainbow: A Jew for Christmas""","57,449"
"Aug 30, 2013","7,529","7,777",n,behindTheTiara.txt,youtube,https://www.youtube.com/watch?v=sYTzq70TsFo,5:50,"8,659","8,568","""Behind the Tiara - Randy Rainbow and Ivy Profen""","8,358"
"Aug 1, 2013","52,405","52,846",n,anthonyWeinerDatingRandy.txt,youtube,https://www.youtube.com/watch?v=3BBiN98XVvE,4:02,"54,690","54,497","""Anthony Weiner is Dating Randy Rainbow""","53,966"
"Jan 26, 2013","4,003","4,044",n,newRandyRainbowShow.txt,youtube,https://www.youtube.com/watch?v=J_JkjjdgaWA,1:28,"4,212","4,184","""NEW RANDY RAINBOW SHOW!""","4,129"
"Dec 17, 2012","8,560","8,812",y,susanBoyleAwkwardDiva.txt,youtube,https://www.youtube.com/watch?v=XcjBQrb202o,1:35,"9,803","9,646","""Susan Boyle the Awkward Diva | Randy Rainbow""","9,376"
"Aug 1, 2012","384,517","386,406",n,randyRainbowWorksAtChickFilA.txt,youtube,https://www.youtube.com/watch?v=jiZLFjbqDxQ,3:40,"393,361","392,629","""Randy Rainbow Works at Chick-fil-A""","390,863"
"Jul 15, 2012","36,805","37,503",n,highSchoolMusical.txt,youtube,https://www.youtube.com/watch?v=JO571wGDucE,5:22,"39,656","39,332","""High School Musical Starring Randy Rainbow""","38,712"
"July 5, 2012","47,428","47,784",n,tomCruiseAndersonCooperSpeedDate.txt,youtube,https://www.youtube.com/watch?v=G-R7qRPiHtE,5:27,"49,008","48,844","""Tom Cruise and Anderson Cooper Speed Date""","48,482"
"May 13, 2012","33,455","33,768",n,johnTravoltaHarassesRandy.txt,youtube,https://www.youtube.com/watch?v=jdMuwTRofR0,4:18,"34,861","34,698","""John Travolta Harasses Randy Rainbow""","34,341"
"Mar 11, 2012","54,033","54,164",n,kirkCameronDatingRandy.txt,youtube,https://www.youtube.com/watch?v=_la4rrc_53c,4:53,"54,634","54,569","""Kirk Cameron is Dating Randy Rainbow""","54,415"
"Feb 13, 2012","16,331","16,400",n,mittRomneyKissMe.txt,youtube,https://www.youtube.com/watch?v=Or2jsyGBxrg,4:30,"16,666","16,616","""Mitt Romney, Kiss Me!""","16,531"
