Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,vid length (min),video_link,views_as_of_June_21_2018,views_as_of_June-08-18,video_title,views_as_of_Feb-21-18,views_as_of_March-9-18,views_as_of_April-20-18,views_as_of_March-17-18,views_as_of_May-07-18
"Mar 16, 2016","64,575","64,911",y,marcoRubioGOPdropout.txt,youtube,3:21,https://www.youtube.com/watch?v=KmGuIssaeEg,"67,936","67,693","""Marco Rubio: GOP DROPOUT""","65,687","66,282","67,051","66,494","67,221"
"Mar 4, 2016","41,367","41,723",y,benCarsonGOPdropout.txt,youtube,3:16,https://www.youtube.com/watch?v=KMQgdOLylXo,"45,774","45,401","""Ben Carson: GOP DROPOUT""","42,516","43,096","44,266","43,317","44,592"
"Feb 22, 2016","51,194","51,511",y,jobBushGOPdropout.txt,youtube,3:17,https://www.youtube.com/watch?v=7BntyhRqBAA,"54,235","53,982","""Jeb Bush GOP DROPOUT""","52,242","52,772","53,387","52,938","53,531"
"Feb 12, 2016","77,885","79,462",y,carlyFiorinaGOPdropout.txt,youtube,3:12,https://www.youtube.com/watch?v=jmssam01R2M,"92,376","91,674","""Carly Fiorina GOP DROPOUT""","82,983","84,673","88,422","85,379","89,382"
"Jan 18, 2016","147,033","149,309",y,none,none,2:19,https://www.youtube.com/watch?v=jDxSg1fSrws,"165,636","164,657","""Randy Rainbow Performs at a Donald Trump Rally""","153,051","154,932","159,508","155,879","160,877"
"Dec 24, 2015","12,135","12,281",n,merryJewishChristmas.txt,youtube,1:31,https://www.youtube.com/watch?v=TK4PRgXXm9U,"13,304","13,196","""Merry Jewish Christmas""","12,546","12,685","12,955","12,747","13,026"
"Oct 21, 2015","42,254","42,576",n,trickOrTreatsKimDavis.txt,youtube,3:54,https://www.youtube.com/watch?v=BgwRl_T1aP8,"45,484","45,267","""Randy Rainbow Trick-or-Treats Kim Davis""","43,427","43,854","44,629","43,999","44,818"
"Sep 7, 2015","473,455","475,325",y,kimDavisCellBlockTango.txt,youtube,3:31,https://www.youtube.com/watch?v=14C3TZg6NQM,"492,404","491,275","""The KIM DAVIS Cell Block Tango - Randy Rainbow""","480,516","482,949","487,139","483,774","488,188"
"Jun 1, 2015","21,888","21,969",n,randyShiaGetReadyForBed.txt,youtube,1:03,https://www.youtube.com/watch?v=jD-JqOXCrEo,"22,779","22,699","""Randy Rainbow And Shia LaBeouf Get Ready For Bed""","22,162","22,271","22,500","22,313","22,558"
"Apr 23, 2015","31,282","31,486",n,interviewsRobertDowneyJr.txt,youtube,2:49,https://www.youtube.com/watch?v=Rq0XX8AcDH0,"33,711","33,479","""Randy Rainbow Interviews Robert Downey Jr.""","31,783","31,973","32,426","32,061","32,619"
"Mar 29, 2015","160,979","161,459",y,aSongForIndiana.txt,youtube,2:13,https://www.youtube.com/watch?v=cUA9m-g12ag,"166,010","165,684","""A Song for Indiana - Randy Rainbow""","162,647","163,258","164,615","163,518","164,924"
"Dec 23, 2014","21,813","22,376",n,none,none,2:41,https://www.youtube.com/watch?v=5bkjyHwSJYk,"26,851","26,579","""Merry Christmas from Randy Rainbow & Bill Cosby!""","23,478","23,967","25,019","24,177","25,467"
"May 20, 2014","9,284","9,381",n,donaldSterlingTalksToRandyRainbow.txt,youtube,3:00,https://www.youtube.com/watch?v=NcMWEgmI84M,"10,619","10,540","""Donald Sterling Talks to Randy Rainbow""","9,607","9,745","10,172","9,818","10,274"
"Mar 6, 2014","84,456","85,693",y,adeleDazeem.txt,youtube,3:26,https://www.youtube.com/watch?v=6SgGxP5TqSE,"92,249","92,013","""ADELE DAZEEM""","88,361","89,406","90,771","89,728","91,125"
"Dec 25, 2013","55,478","56,200",n,aJewForChristmas.txt,youtube,3:18,https://www.youtube.com/watch?v=wsZyELYDzO0,"59,671","59,488","""Randy Rainbow: A Jew for Christmas""","57,449","58,063","58,882","58,236","59,081"
"Aug 30, 2013","7,529","7,777",n,behindTheTiara.txt,youtube,5:50,https://www.youtube.com/watch?v=sYTzq70TsFo,"10,278","10,133","""Behind the Tiara - Randy Rainbow and Ivy Profen""","8,358","8,568","9,384","8,659","9,668"
"Aug 1, 2013","52,405","52,846",n,anthonyWeinerDatingRandy.txt,youtube,4:02,https://www.youtube.com/watch?v=3BBiN98XVvE,"56,404","56,129","""Anthony Weiner is Dating Randy Rainbow""","53,966","54,497","55,390","54,690","55,607"
"Jan 26, 2013","4,003","4,044",n,newRandyRainbowShow.txt,youtube,1:28,https://www.youtube.com/watch?v=J_JkjjdgaWA,"4,386","4,370","""NEW RANDY RAINBOW SHOW!""","4,129","4,184","4,304","4,212","4,324"
"Dec 17, 2012","8,560","8,812",y,susanBoyleAwkwardDiva.txt,youtube,1:35,https://www.youtube.com/watch?v=XcjBQrb202o,"11,148","11,044","""Susan Boyle the Awkward Diva | Randy Rainbow""","9,376","9,646","10,316","9,803","10,538"
"Aug 1, 2012","384,517","386,406",n,randyRainbowWorksAtChickFilA.txt,youtube,3:40,https://www.youtube.com/watch?v=jiZLFjbqDxQ,"401,921","400,803","""Randy Rainbow Works at Chick-fil-A""","390,863","392,629","396,593","393,361","397,793"
"Jul 15, 2012","36,805","37,503",n,highSchoolMusical.txt,youtube,5:22,https://www.youtube.com/watch?v=JO571wGDucE,"42,103","41,822","""High School Musical Starring Randy Rainbow""","38,712","39,332","40,680","39,656","41,006"
"July 5, 2012","47,428","47,784",n,tomCruiseAndersonCooperSpeedDate.txt,youtube,5:27,https://www.youtube.com/watch?v=G-R7qRPiHtE,"50,594","50,416","""Tom Cruise and Anderson Cooper Speed Date""","48,482","48,844","49,660","49,008","49,891"
"May 13, 2012","33,455","33,768",n,johnTravoltaHarassesRandy.txt,youtube,4:18,https://www.youtube.com/watch?v=jdMuwTRofR0,"36,115","35,970","""John Travolta Harasses Randy Rainbow""","34,341","34,698","35,393","34,861","35,554"
"Mar 11, 2012","54,033","54,164",n,kirkCameronDatingRandy.txt,youtube,4:53,https://www.youtube.com/watch?v=_la4rrc_53c,"55,268","55,197","""Kirk Cameron is Dating Randy Rainbow""","54,415","54,569","54,901","54,634","54,982"
"Feb 13, 2012","16,331","16,400",n,mittRomneyKissMe.txt,youtube,4:30,https://www.youtube.com/watch?v=Or2jsyGBxrg,"17,009","16,963","""Mitt Romney, Kiss Me!""","16,531","16,616","16,804","16,666","16,847"
