Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2018-07-16,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21
"Oct 18, 2016",n,interviewsMelaniaTrump.txt,youtube,3:45,oYagr8TdBl0,.mkv,https://www.youtube.com/watch?v=oYagr8TdBl0,"832,073","""RANDY RAINBOW Interviews MELANIA TRUMP!""","754,213","766,797","790,214","797,357","799,870","808,197","811,011","818,085","820,623"
"Oct 10, 2016",y,grabEmBy.txt,youtube,2:14,1jp-PK1TihE,.webm,https://www.youtube.com/watch?v=1jp-PK1TihE,"231,915","""GRAB 'EM BY THE P***Y! (Censored)""","220,307","221,346","223,763","224,970","225,398","227,313","227,966","229,717","230,301"
"Oct 6, 2016",n,randyRainbowModerates2016VPdebate.txt,youtube,4:03,xGA5O49T_qE,.mkv,https://www.youtube.com/watch?v=xGA5O49T_qE,"95,653","""RANDY RAINBOW Moderates the 2016 VP DEBATE""","91,104","91,538","92,462","92,925","93,155","94,104","94,378","95,080","95,326"
"Sep 28, 2016",y,braggadocious.txt,youtube,2:57,ldfF6chin5s,.mkv,https://www.youtube.com/watch?v=ldfF6chin5s,"966,791","""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1""","927,568","935,816","942,104","944,969","946,285","951,855","953,934","959,023","960,988"
"Sep 20, 2016",n,interviewsTrumpCampaign.txt,youtube,2:53,fkIDDl1u53g,.webm,https://www.youtube.com/watch?v=fkIDDl1u53g,"253,727","""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY""","240,786","241,824","244,357","245,546","246,225","248,831","249,977","252,490","253,048"
"Sep 9, 2016",n,interviewsGaryJohnson.txt,youtube,2:18,iYSQH8SFHDY,.mkv,https://www.youtube.com/watch?v=iYSQH8SFHDY,"89,994","""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo""","86,063","86,362","87,090","87,523","87,701","88,491","88,774","89,546","89,748"
"Sep 3, 2016",n,interviewsLatinosForTump.txt,youtube,2:36,8CtrLnBxeNY,.webm,https://www.youtube.com/watch?v=8CtrLnBxeNY,"108,869","""RANDY RAINBOW Interviews LATINOS FOR TRUMP""","100,453","101,312","102,880","103,767","104,168","105,819","106,414","108,071","108,509"
"Aug 19, 2016",n,interviewsTrumpsAttorney.txt,youtube,2:43,JjTqyNe0C1w,.mkv,https://www.youtube.com/watch?v=JjTqyNe0C1w,"134,704","""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho""","92,667","93,591","95,775","96,970","97,547","105,972","115,259","131,448","132,844"
"Aug 2, 2016",n,interviewsDonaldTrumpPart2.txt,youtube,2:37,q81Howk0Dto,.mkv,https://www.youtube.com/watch?v=q81Howk0Dto,"154,890","""Randy Rainbow Interviews DONALD TRUMP: Part II""","148,006","148,767","150,134","150,762","151,105","152,389","152,977","154,083","154,406"
"Jul 28, 2016",n,interviewsHillaryClintonTimKaine.txt,youtube,3:11,u1XjA0X2uRU,.mkv,https://www.youtube.com/watch?v=u1XjA0X2uRU,"87,870","""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE""","82,555","83,038","84,009","84,453","84,645","85,668","86,123","87,115","87,378"
"Jul 21, 2016",y,yaGotTrumpTrouble.txt,youtube,3:44,5_k1L7IHYx0,.mkv,https://www.youtube.com/watch?v=5_k1L7IHYx0,"27,849","""Ya Got Trump Trouble!""","8,475","10,886","15,358","17,607","18,714","22,779","24,124","26,861","27,669"
"Jun 7, 2016",y,sorryYoureNotHamilton.txt,youtube,3:27,S10DtYaIg0g,.webm,https://www.youtube.com/watch?v=S10DtYaIg0g,"181,939","""SORRY, YOU'RE NOT HAMILTON""","148,232","151,610","157,648","160,611","163,546","172,901","174,801","178,670","179,970"
"May 19, 2016",n,randyRainbowInterviewsDonaldTrump.txt,youtube,2:32,8Dw3DXBeKIM,.mkv,https://www.youtube.com/watch?v=8Dw3DXBeKIM,"174,667","""Randy Rainbow Interviews Donald Trump""","166,204","167,043","168,754","169,530","169,924","171,545","172,263","173,772","174,152"
"May 5, 2016",y,tedCruzGOPdropout.txt,youtube,3:34,vdB9nTe4ldE,.mkv,https://www.youtube.com/watch?v=vdB9nTe4ldE,"76,014","""TED CRUZ GOP DROPOUT""","71,113","71,482","72,433","73,142","73,419","74,309","74,524","75,118","75,363"
"May 5, 2016",y,johnKasichGOPdropout.txt,youtube,3:18,0-XDpLkLNRk,.mkv,https://www.youtube.com/watch?v=0-XDpLkLNRk,"31,232","""JOHN KASICH GOP DROPOUT""","28,523","28,755","29,328","29,737","29,877","30,324","30,456","30,793","30,950"
"Apr 29, 2016",y,carlyFiorinaDuet.txt,youtube,2:43,rsWEd-phvyw,.webm,https://www.youtube.com/watch?v=rsWEd-phvyw,"50,332","""RANDY RAINBOW & CARLY FIORINA DUET: Just in Love (with TED CRUZ)""","47,820","48,023","48,458","48,738","48,844","49,374","49,537","49,927","50,042"
"Apr 24, 2016",n,randyRainbowInterviewsBarbaraStreisand.txt,youtube,3:47,vRvsNj1tGQs,.mkv,https://www.youtube.com/watch?v=vRvsNj1tGQs,"98,301","""Randy Rainbow Interviews Barbra Streisand""","81,567","83,448","87,408","89,067","90,078","93,282","94,521","96,626","97,205"
"Mar 16, 2016",y,marcoRubioGOPdropout.txt,youtube,3:21,KmGuIssaeEg,.mkv,https://www.youtube.com/watch?v=KmGuIssaeEg,"68,392","""Marco Rubio: GOP DROPOUT""","64,575","64,911","65,687","66,282","66,494","67,051","67,221","67,693","67,936"
"Mar 4, 2016",y,benCarsonGOPdropout.txt,youtube,3:16,KMQgdOLylXo,.mkv,https://www.youtube.com/watch?v=KMQgdOLylXo,"46,562","""Ben Carson: GOP DROPOUT""","41,367","41,723","42,516","43,096","43,317","44,266","44,592","45,401","45,774"
"Feb 22, 2016",y,jobBushGOPdropout.txt,youtube,3:17,7BntyhRqBAA,.mkv,https://www.youtube.com/watch?v=7BntyhRqBAA,"54,648","""Jeb Bush GOP DROPOUT""","51,194","51,511","52,242","52,772","52,938","53,387","53,531","53,982","54,235"
"Feb 12, 2016",y,carlyFiorinaGOPdropout.txt,youtube,3:12,jmssam01R2M,.mkv,https://www.youtube.com/watch?v=jmssam01R2M,"93,368","""Carly Fiorina GOP DROPOUT""","77,885","79,462","82,983","84,673","85,379","88,422","89,382","91,674","92,376"
"Jan 18, 2016",y,none,none,2:19,jDxSg1fSrws,.mkv,https://www.youtube.com/watch?v=jDxSg1fSrws,"167,522","""Randy Rainbow Performs at a Donald Trump Rally""","147,033","149,309","153,051","154,932","155,879","159,508","160,877","164,657","165,636"
"Dec 24, 2015",n,merryJewishChristmas.txt,youtube,1:31,TK4PRgXXm9U,.mkv,https://www.youtube.com/watch?v=TK4PRgXXm9U,"13,452","""Merry Jewish Christmas""","12,135","12,281","12,546","12,685","12,747","12,955","13,026","13,196","13,304"
"Oct 21, 2015",n,trickOrTreatsKimDavis.txt,youtube,3:54,BgwRl_T1aP8,.mkv,https://www.youtube.com/watch?v=BgwRl_T1aP8,"46,050","""Randy Rainbow Trick-or-Treats Kim Davis""","42,254","42,576","43,427","43,854","43,999","44,629","44,818","45,267","45,484"
"Sep 7, 2015",y,kimDavisCellBlockTango.txt,youtube,3:31,14C3TZg6NQM,.mkv,https://www.youtube.com/watch?v=14C3TZg6NQM,"495,597","""The KIM DAVIS Cell Block Tango - Randy Rainbow""","473,455","475,325","480,516","482,949","483,774","487,139","488,188","491,275","492,404"
"Jun 1, 2015",n,randyShiaGetReadyForBed.txt,youtube,1:03,jD-JqOXCrEo,.mkv,https://www.youtube.com/watch?v=jD-JqOXCrEo,"22,916","""Randy Rainbow And Shia LaBeouf Get Ready For Bed""","21,888","21,969","22,162","22,271","22,313","22,500","22,558","22,699","22,779"
"Apr 23, 2015",n,interviewsRobertDowneyJr.txt,youtube,2:49,Rq0XX8AcDH0,.mkv,https://www.youtube.com/watch?v=Rq0XX8AcDH0,"34,216","""Randy Rainbow Interviews Robert Downey Jr.""","31,282","31,486","31,783","31,973","32,061","32,426","32,619","33,479","33,711"
"Mar 29, 2015",y,aSongForIndiana.txt,youtube,2:13,cUA9m-g12ag,.webm,https://www.youtube.com/watch?v=cUA9m-g12ag,"166,935","""A Song for Indiana - Randy Rainbow""","160,979","161,459","162,647","163,258","163,518","164,615","164,924","165,684","166,010"
"Dec 23, 2014",n,none,none,2:41,5bkjyHwSJYk,.mkv,https://www.youtube.com/watch?v=5bkjyHwSJYk,"27,070","""Merry Christmas from Randy Rainbow & Bill Cosby!""","21,813","22,376","23,478","23,967","24,177","25,019","25,467","26,579","26,851"
"May 20, 2014",n,donaldSterlingTalksToRandyRainbow.txt,youtube,3:00,NcMWEgmI84M,.mp4,https://www.youtube.com/watch?v=NcMWEgmI84M,"10,747","""Donald Sterling Talks to Randy Rainbow""","9,284","9,381","9,607","9,745","9,818","10,172","10,274","10,540","10,619"
"Mar 6, 2014",y,adeleDazeem.txt,youtube,3:26,6SgGxP5TqSE,.mp4,https://www.youtube.com/watch?v=6SgGxP5TqSE,"92,853","""ADELE DAZEEM""","84,456","85,693","88,361","89,406","89,728","90,771","91,125","92,013","92,249"
"Dec 25, 2013",n,aJewForChristmas.txt,youtube,3:18,wsZyELYDzO0,.mkv,https://www.youtube.com/watch?v=wsZyELYDzO0,"60,327","""Randy Rainbow: A Jew for Christmas""","55,478","56,200","57,449","58,063","58,236","58,882","59,081","59,488","59,671"
