Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2020-01-20,2019-11-22,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,2019-04-02,2019-04-29,2019-05-28,2019-07-22,2019-08-29,2019-10-17,,RemovedFromYoutube
"Oct 11, 2017",y,none,none,4:30,LTosB6V_V24,.webm,https://www.youtube.com/watch?v=LTosB6V_V24,"2,534,328","2,467,856","""DESPERATE CHEETO""","959,900","1,040,356","1,148,607","1,193,144","1,212,828","1,285,319","1,313,437","1,362,788","1,383,122","1,425,942","1,533,133","1,556,186","1,658,282","1,704,869","1,754,730","1,808,379","1,884,678","1,922,430","1,983,311","2,016,377","2,052,561","2,059,774","2,091,741","2,125,865","2,217,853","2,309,010","2,411,793",,
"Sep 25, 2017",y,howDoYouSolveAProblemLikeKorea.txt,youtube,4:37,580dYcYCneA,.webm,https://www.youtube.com/watch?v=580dYcYCneA,"1,042,926","1,025,737","""How Do You Solve A Problem Like Korea?""","508,729","536,968","566,442","578,818","584,524","604,510","613,014","647,624","658,406","678,745","749,038","760,479","797,251","810,394","823,784","836,542","855,114","862,659","877,409","885,573","893,624","894,888","900,872","908,299","948,127","977,510","1,008,869",,
"Sep 6, 2017",y,dacaShame.txt,youtube,3:55,q1CqNLgM5JU,.webm,https://www.youtube.com/watch?v=q1CqNLgM5JU,"415,639","408,742","""DACA Shame""","213,831","217,359","224,179","226,907","227,836","231,800","232,756","234,786","235,628","237,718","244,260","246,037","254,821","259,138","265,342","271,055","290,200","296,899","313,583","318,927","324,190","325,225","329,387","333,740","347,711","382,500","401,235",,
"Aug 21, 2017",y,yesWeHaveNoSteveBannon.txt,youtube,4:01,If4eQHYKSu8,.mkv,https://www.youtube.com/watch?v=If4eQHYKSu8,"558,923","510,923","""YES! WE HAVE NO STEVE BANNON!""","222,062","227,591","236,837","240,884","243,126","251,175","254,051","260,080","262,064","265,455","279,645","284,457","303,666","315,620","331,872","343,773","359,045","370,163","381,793","389,950","398,797","399,669","404,014","416,238","440,554","460,732","493,067",,
"Jul 31, 2017",y,theSychophantItaliano.txt,youtube,4:14,UO3ZIBONcr4,.webm,https://www.youtube.com/watch?v=UO3ZIBONcr4,"359,365","350,250","""THE SYCOPHANT ITALIANO""","175,309","178,921","186,353","189,755","191,629","197,838","199,454","203,883","205,383","207,264","217,587","221,368","233,811","239,044","246,023","252,311","263,189","268,461","277,195","281,674","287,512","288,582","292,282","296,479","306,774","326,437","342,978",,
"Jul 21, 2017",y,theRoomWhereItHappened.txt,youtube,4:51,5h56N_uwS7c,.mkv,https://www.youtube.com/watch?v=5h56N_uwS7c,"784,785","768,606","""THE ROOM WHERE IT HAPPENED""","254,894","270,662","290,755","299,585","304,838","322,727","327,368","339,686","343,696","352,907","398,601","412,254","467,007","486,297","502,213","532,403","570,586","580,365","599,350","610,249","621,597","623,668","633,235","643,597","681,517","716,084","749,696",,
"Jul 5, 2017",y,beforeHeTweets.txt,youtube,3:45,0kiVjtH7w8w,.webm,https://www.youtube.com/watch?v=0kiVjtH7w8w,"797,015","781,582","""BEFORE HE TWEETS""","425,542","435,043","462,848","473,825","478,042","491,570","495,631","503,451","506,298","512,693","528,106","532,457","556,468","565,051","574,386","586,709","608,762","617,755","640,810","650,532","658,445","659,681","664,801","670,534","687,302","728,880","766,062",,
"Jun 16, 2017",y,russiaTies.txt,youtube,4:15,EYgi5MyMqCs,.webm,https://www.youtube.com/watch?v=EYgi5MyMqCs,"808,073","788,093","""RUSSIA TIES""","255,080","260,901","273,719","280,493","283,865","295,792","299,881","308,947","312,363","320,179","372,482","386,656","425,243","446,204","477,013","498,467","527,474","559,388","579,151","593,162","607,796","610,029","619,301","643,752","677,845","705,262","766,391",,
"Jun 2, 2017",y,none,none,4:19,1UW2ZndKqcg,.mkv,https://www.youtube.com/watch?v=1UW2ZndKqcg,"847,250","811,462","""COVFEFE: THE BROADWAY MEDLEY!""","523,125","534,567","556,248","565,773","569,680","580,631","584,414","597,048","600,681","608,284","635,163","639,644","658,770","666,025","673,884","681,452","694,598","700,234","714,215","719,025","725,203","726,162","730,544","734,713","747,259","763,495","781,008",,
"May 30, 2017",y,none,none,3:46,XQmFeX_Srhs,.mkv,https://www.youtube.com/watch?v=XQmFeX_Srhs,"267,213","260,403","""Donald Trump's MANGO TOUR!""","151,719","152,985","155,765","157,247","157,798","159,778","160,495","161,955","162,567","164,293","169,327","170,994","179,661","183,750","189,324","193,885","199,120","201,734","210,261","213,896","217,752","218,361","221,309","225,371","232,922","243,636","255,808",,
