Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2019-04-29,2019-04-02,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,,RemovedFromYoutube
"Sep 6, 2017",y,dacaShame.txt,youtube,3:55,q1CqNLgM5JU,.webm,https://www.youtube.com/watch?v=q1CqNLgM5JU,"329,387","325,225","""DACA Shame""","213,831","217,359","224,179","226,907","227,836","231,800","232,756","234,786","235,628","237,718","244,260","246,037","254,821","259,138","265,342","271,055","290,200","296,899","313,583","318,927","324,190",,
"Aug 21, 2017",y,yesWeHaveNoSteveBannon.txt,youtube,4:01,If4eQHYKSu8,.mkv,https://www.youtube.com/watch?v=If4eQHYKSu8,"404,014","399,669","""YES! WE HAVE NO STEVE BANNON!""","222,062","227,591","236,837","240,884","243,126","251,175","254,051","260,080","262,064","265,455","279,645","284,457","303,666","315,620","331,872","343,773","359,045","370,163","381,793","389,950","398,797",,
"Jul 31, 2017",y,theSychophantItaliano.txt,youtube,4:14,UO3ZIBONcr4,.webm,https://www.youtube.com/watch?v=UO3ZIBONcr4,"292,282","288,582","""THE SYCOPHANT ITALIANO""","175,309","178,921","186,353","189,755","191,629","197,838","199,454","203,883","205,383","207,264","217,587","221,368","233,811","239,044","246,023","252,311","263,189","268,461","277,195","281,674","287,512",,
"Jul 21, 2017",y,theRoomWhereItHappened.txt,youtube,4:51,5h56N_uwS7c,.mkv,https://www.youtube.com/watch?v=5h56N_uwS7c,"633,235","623,668","""THE ROOM WHERE IT HAPPENED""","254,894","270,662","290,755","299,585","304,838","322,727","327,368","339,686","343,696","352,907","398,601","412,254","467,007","486,297","502,213","532,403","570,586","580,365","599,350","610,249","621,597",,
"Jul 5, 2017",y,beforeHeTweets.txt,youtube,3:45,0kiVjtH7w8w,.webm,https://www.youtube.com/watch?v=0kiVjtH7w8w,"664,801","659,681","""BEFORE HE TWEETS""","425,542","435,043","462,848","473,825","478,042","491,570","495,631","503,451","506,298","512,693","528,106","532,457","556,468","565,051","574,386","586,709","608,762","617,755","640,810","650,532","658,445",,
"Jun 16, 2017",y,russiaTies.txt,youtube,4:15,EYgi5MyMqCs,.webm,https://www.youtube.com/watch?v=EYgi5MyMqCs,"619,301","610,029","""RUSSIA TIES""","255,080","260,901","273,719","280,493","283,865","295,792","299,881","308,947","312,363","320,179","372,482","386,656","425,243","446,204","477,013","498,467","527,474","559,388","579,151","593,162","607,796",,
"Jun 2, 2017",y,none,none,4:19,1UW2ZndKqcg,.mkv,https://www.youtube.com/watch?v=1UW2ZndKqcg,"730,544","726,162","""COVFEFE: THE BROADWAY MEDLEY!""","523,125","534,567","556,248","565,773","569,680","580,631","584,414","597,048","600,681","608,284","635,163","639,644","658,770","666,025","673,884","681,452","694,598","700,234","714,215","719,025","725,203",,
"May 30, 2017",y,none,none,3:46,XQmFeX_Srhs,.mkv,https://www.youtube.com/watch?v=XQmFeX_Srhs,"221,309","218,361","""Donald Trump's MANGO TOUR!""","151,719","152,985","155,765","157,247","157,798","159,778","160,495","161,955","162,567","164,293","169,327","170,994","179,661","183,750","189,324","193,885","199,120","201,734","210,261","213,896","217,752",,
"May 15, 2017",y,none,none,4:23,V2OuJYaz_oE,.webm,https://www.youtube.com/watch?v=V2OuJYaz_oE,"387,104","382,941","""THE RUSSIAN CONNECTION""","207,970","210,420","215,341","218,148","219,628","225,372","227,241","231,021","232,220","235,691","248,852","251,041","265,519","273,339","281,768","291,568","312,230","322,446","350,580","371,776","381,797",,
"May 1, 2017",y,unpopular.txt,youtube,4:33,TPg0BWvhMkA,.mkv,https://www.youtube.com/watch?v=TPg0BWvhMkA,"624,146","616,524","""UNPOPULAR!""","382,746","390,150","403,774","409,976","413,328","425,597","429,847","438,532","441,599","449,450","471,755","475,902","502,653","522,520","536,634","547,985","564,336","572,327","592,889","604,925","615,153",,
