Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_May-07-18,views_as_of_April-20-18,views_as_of_March-17-18,video_title,views_as_of_Feb-21-18,views_as_of_March-9-18
"Jan 24, 2017","617,119","619,749",y,alternativeFacts.txt,youtube,https://www.youtube.com/watch?v=OdV_8TGswRA,3:35,"636,223","634,238","629,242","""ALTERNATIVE FACTS""","625,004","627,872"
"Jan 17, 2017","76,385","76,836",y,randyRainbowInterviewsJenniferHolliday.txt,youtube,https://www.youtube.com/watch?v=IMBwyVGUFls,2:58,"79,423","79,095","78,244","""Randy Rainbow Interviews Jennifer Holliday""","77,562","78,000"
"Jan 11, 2017","258,528","259,456",y,tweetsTweetsNothingButTweets.txt,youtube,https://www.youtube.com/watch?v=qEVtRrcg3dg,3:11,"266,196","265,595","263,629","""TWEETS, TWEETS & NOTHING BUT TWEETS""","261,830","263,101"
"Jan 9, 2017","239,524","244,618",n,exitInterviewsBarackObama.txt,youtube,https://www.youtube.com/watch?v=NEel6Ng2e-0,4:02,"268,231","266,593","259,211","""Randy Rainbow Exit-Interviews Barack Obama""","252,465","256,143"
"Dec 14, 2016","164,050","165,317",n,interviewsDonaldTrumpPart3.txt,youtube,https://www.youtube.com/watch?v=5e3FuzTPFT0,4:10,"173,114","172,118","169,674","""Randy Rainbow Interviews Donald Trump: PART THREE""","167,871","169,071"
"Nov 22, 2016","246,664","248,609",y,donaldTrumpGrowUp.txt,youtube,https://www.youtube.com/watch?v=5Gxp6gzKvXk,4:18,"267,871","266,428","261,507","""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody""","256,726","260,226"
"Nov 16, 2016","205,302","209,292",n,interviewsNewFirstFamily.txt,youtube,https://www.youtube.com/watch?v=o5harjyjggI,3:59,"232,315","230,398","222,948","""Randy Rainbow Interviews the New First Family!""","216,402","220,183"
"Nov 10, 2016","79,248","79,861",y,none,none,https://www.youtube.com/watch?v=uc87elr2Ohs,2:55,"83,922","83,480","82,217","""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)""","81,149","81,871"
"Nov 6, 2016","98,698","99,574",y,none,none,https://www.youtube.com/watch?v=G19s4OmvFw8,2:51,"104,644","104,288","103,002","""TRUMP-PENCE, TRUMP-PENCE""","101,597","102,600"
"Oct 24, 2016","261,625","262,960",y,nastyWoman.txt,youtube,https://www.youtube.com/watch?v=WC7u_IKEWwA,3:38,"271,720","270,949","268,583","""THE NASTY WOMAN""","266,289","267,953"
"Oct 18, 2016","754,213","766,797",n,interviewsMelaniaTrump.txt,youtube,https://www.youtube.com/watch?v=oYagr8TdBl0,3:45,"811,011","808,197","799,870","""RANDY RAINBOW Interviews MELANIA TRUMP!""","790,214","797,357"
"Oct 10, 2016","220,307","221,346",y,grabEmBy.txt,youtube,https://www.youtube.com/watch?v=1jp-PK1TihE,2:14,"227,966","227,313","225,398","""GRAB 'EM BY THE P***Y! (Censored)""","223,763","224,970"
"Oct 6, 2016","91,104","91,538",n,randyRainbowModerates2016VPdebate.txt,youtube,https://www.youtube.com/watch?v=xGA5O49T_qE,4:03,"94,378","94,104","93,155","""RANDY RAINBOW Moderates the 2016 VP DEBATE""","92,462","92,925"
"Sep 28, 2016","927,568","935,816",y,braggadocious.txt,youtube,https://www.youtube.com/watch?v=ldfF6chin5s,2:57,"953,934","951,855","946,285","""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1""","942,104","944,969"
"Sep 20, 2016","240,786","241,824",n,interviewsTrumpCampaign.txt,youtube,https://www.youtube.com/watch?v=fkIDDl1u53g,2:53,"249,977","248,831","246,225","""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY""","244,357","245,546"
"Sep 9, 2016","86,063","86,362",n,interviewsGaryJohnson.txt,youtube,https://www.youtube.com/watch?v=iYSQH8SFHDY,2:18,"88,774","88,491","87,701","""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo""","87,090","87,523"
"Sep 3, 2016","100,453","101,312",n,interviewsLatinosForTump.txt,youtube,https://www.youtube.com/watch?v=8CtrLnBxeNY,2:36,"106,414","105,819","104,168","""RANDY RAINBOW Interviews LATINOS FOR TRUMP""","102,880","103,767"
"Aug 19, 2016","92,667","93,591",n,interviewsTrumpsAttorney.txt,youtube,https://www.youtube.com/watch?v=JjTqyNe0C1w,2:43,"115,259","105,972","97,547","""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho""","95,775","96,970"
"Aug 2, 2016","148,006","148,767",n,interviewsDonaldTrumpPart2.txt,youtube,https://www.youtube.com/watch?v=q81Howk0Dto,2:37,"152,977","152,389","151,105","""Randy Rainbow Interviews DONALD TRUMP: Part II""","150,134","150,762"
"Jul 28, 2016","82,555","83,038",n,interviewsHillaryClintonTimKaine.txt,youtube,https://www.youtube.com/watch?v=u1XjA0X2uRU,3:11,"86,123","85,668","84,645","""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE""","84,009","84,453"
"Jul 21, 2016","8,475","10,886",y,yaGotTrumpTrouble.txt,youtube,https://www.youtube.com/watch?v=5_k1L7IHYx0,3:44,"24,124","22,779","18,714","""Ya Got Trump Trouble!""","15,358","17,607"
"Jun 7, 2016","148,232","151,610",y,sorryYoureNotHamilton.txt,youtube,https://www.youtube.com/watch?v=S10DtYaIg0g,3:27,"174,801","172,901","163,546","""SORRY, YOU'RE NOT HAMILTON""","157,648","160,611"
"May 19, 2016","166,204","167,043",n,randyRainbowInterviewsDonaldTrump.txt,youtube,https://www.youtube.com/watch?v=8Dw3DXBeKIM,2:32,"172,263","171,545","169,924","""Randy Rainbow Interviews Donald Trump""","168,754","169,530"
"May 5, 2016","71,113","71,482",y,tedCruzGOPdropout.txt,youtube,https://www.youtube.com/watch?v=vdB9nTe4ldE,3:34,"74,524","74,309","73,419","""TED CRUZ GOP DROPOUT""","72,433","73,142"
"May 5, 2016","28,523","28,755",y,johnKasichGOPdropout.txt,youtube,https://www.youtube.com/watch?v=0-XDpLkLNRk,3:18,"30,456","30,324","29,877","""JOHN KASICH GOP DROPOUT""","29,328","29,737"
"Apr 29, 2016","47,820","48,023",y,carlyFiorinaDuet.txt,youtube,https://www.youtube.com/watch?v=rsWEd-phvyw,2:43,"49,537","49,374","48,844","""RANDY RAINBOW & CARLY FIORINA DUET: Just in Love (with TED CRUZ)""","48,458","48,738"
"Apr 24, 2016","81,567","83,448",n,randyRainbowInterviewsBarbaraStreisand.txt,youtube,https://www.youtube.com/watch?v=vRvsNj1tGQs,3:47,"94,521","93,282","90,078","""Randy Rainbow Interviews Barbra Streisand""","87,408","89,067"
"Mar 16, 2016","64,575","64,911",y,marcoRubioGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KmGuIssaeEg,3:21,"67,221","67,051","66,494","""Marco Rubio: GOP DROPOUT""","65,687","66,282"
"Mar 4, 2016","41,367","41,723",y,benCarsonGOPdropout.txt,youtube,https://www.youtube.com/watch?v=KMQgdOLylXo,3:16,"44,592","44,266","43,317","""Ben Carson: GOP DROPOUT""","42,516","43,096"
"Feb 22, 2016","51,194","51,511",y,jobBushGOPdropout.txt,youtube,https://www.youtube.com/watch?v=7BntyhRqBAA,3:17,"53,531","53,387","52,938","""Jeb Bush GOP DROPOUT""","52,242","52,772"
"Feb 12, 2016","77,885","79,462",y,carlyFiorinaGOPdropout.txt,youtube,https://www.youtube.com/watch?v=jmssam01R2M,3:12,"89,382","88,422","85,379","""Carly Fiorina GOP DROPOUT""","82,983","84,673"
"Jan 18, 2016","147,033","149,309",y,none,none,https://www.youtube.com/watch?v=jDxSg1fSrws,2:19,"160,877","159,508","155,879","""Randy Rainbow Performs at a Donald Trump Rally""","153,051","154,932"
"Dec 24, 2015","12,135","12,281",n,merryJewishChristmas.txt,youtube,https://www.youtube.com/watch?v=TK4PRgXXm9U,1:31,"13,026","12,955","12,747","""Merry Jewish Christmas""","12,546","12,685"
"Oct 21, 2015","42,254","42,576",n,trickOrTreatsKimDavis.txt,youtube,https://www.youtube.com/watch?v=BgwRl_T1aP8,3:54,"44,818","44,629","43,999","""Randy Rainbow Trick-or-Treats Kim Davis""","43,427","43,854"
"Sep 7, 2015","473,455","475,325",y,kimDavisCellBlockTango.txt,youtube,https://www.youtube.com/watch?v=14C3TZg6NQM,3:31,"488,188","487,139","483,774","""The KIM DAVIS Cell Block Tango - Randy Rainbow""","480,516","482,949"
"Jun 1, 2015","21,888","21,969",n,randyShiaGetReadyForBed.txt,youtube,https://www.youtube.com/watch?v=jD-JqOXCrEo,1:03,"22,558","22,500","22,313","""Randy Rainbow And Shia LaBeouf Get Ready For Bed""","22,162","22,271"
"Apr 23, 2015","31,282","31,486",n,interviewsRobertDowneyJr.txt,youtube,https://www.youtube.com/watch?v=Rq0XX8AcDH0,2:49,"32,619","32,426","32,061","""Randy Rainbow Interviews Robert Downey Jr.""","31,783","31,973"
"Mar 29, 2015","160,979","161,459",y,aSongForIndiana.txt,youtube,https://www.youtube.com/watch?v=cUA9m-g12ag,2:13,"164,924","164,615","163,518","""A Song for Indiana - Randy Rainbow""","162,647","163,258"
"Dec 23, 2014","21,813","22,376",n,none,none,https://www.youtube.com/watch?v=5bkjyHwSJYk,2:41,"25,467","25,019","24,177","""Merry Christmas from Randy Rainbow & Bill Cosby!""","23,478","23,967"
"May 20, 2014","9,284","9,381",n,donaldSterlingTalksToRandyRainbow.txt,youtube,https://www.youtube.com/watch?v=NcMWEgmI84M,3:00,"10,274","10,172","9,818","""Donald Sterling Talks to Randy Rainbow""","9,607","9,745"
"Mar 6, 2014","84,456","85,693",y,adeleDazeem.txt,youtube,https://www.youtube.com/watch?v=6SgGxP5TqSE,3:26,"91,125","90,771","89,728","""ADELE DAZEEM""","88,361","89,406"
"Dec 25, 2013","55,478","56,200",n,aJewForChristmas.txt,youtube,https://www.youtube.com/watch?v=wsZyELYDzO0,3:18,"59,081","58,882","58,236","""Randy Rainbow: A Jew for Christmas""","57,449","58,063"
"Aug 30, 2013","7,529","7,777",n,behindTheTiara.txt,youtube,https://www.youtube.com/watch?v=sYTzq70TsFo,5:50,"9,668","9,384","8,659","""Behind the Tiara - Randy Rainbow and Ivy Profen""","8,358","8,568"
"Aug 1, 2013","52,405","52,846",n,anthonyWeinerDatingRandy.txt,youtube,https://www.youtube.com/watch?v=3BBiN98XVvE,4:02,"55,607","55,390","54,690","""Anthony Weiner is Dating Randy Rainbow""","53,966","54,497"
"Jan 26, 2013","4,003","4,044",n,newRandyRainbowShow.txt,youtube,https://www.youtube.com/watch?v=J_JkjjdgaWA,1:28,"4,324","4,304","4,212","""NEW RANDY RAINBOW SHOW!""","4,129","4,184"
