Date Mailed,Date reported recieved,lat,lon,City,State,Zipcode ,Country,GlobalRegion,Distance From SF,USPS Sectional Center,State_2,SC_lat,SC_lon,Notes,Date Return Env Sent,Date Return Env Arrives,StickerChoice
9/18/2020,9/21/2020,38.6682,-90.3325,University City ,MO,63130,US,NorthAmerica,1733,St. Louis,MO,38.6289041,-90.2052258,,09/23/2020,09/25/2020,Surprise Me
9/18/2020,,36.7534,-86.1905,Scottsville,KY,42164,US,NorthAmerica,1980,Nashville,TN,36.1493962,-86.6748792,,,,Boxes
9/18/2020,9/22/2020,43.1806,-87.9006,Bayside,WI,53217,US,NorthAmerica,1838,Milwaukee,WI,43.0349931,-87.922497,,,,Boxes
9/18/2020,9/23/2020,37.7749,-122.4194,San Francisco,CA,94110,US,NorthAmerica,3,San Francisco,CA,37.7790262,-122.4199061,,,,Surprise Me
9/18/2020,9/22/2020,41.8781,-87.6298,Chicago,IL,60615,US,NorthAmerica,1854,Chicago,IL,41.874361,-87.636784,,09/23/2020,09/28/2020,Surprise Me
9/18/2020,9/21/2020,37.3688,-122.0363,Sunnyvale,CA,94087,US,NorthAmerica,35,San Francisco,CA,37.7790262,-122.4199061,,10/01/2020,10/03/2020,Surprise Me
9/18/2020,9/23/2020,45.0275,-93.0898,Little Canada,MN,55117,US,NorthAmerica,1590,St. Paul,MN,44.9504037,-93.1015026,,9/24/2020,09/28/2020,Surprise Me
9/18/2020,9/21/2020,38.7801,-77.3867,Clifton,VA,20124,US,NorthAmerica,2418,Dulles,VA,39.00074,-77.458761,,09/21/2020,09/25/2020,Surprise Me
9/18/2020,9/21/2020,33.749,-84.388,Atlanta,GA,30339,US,NorthAmerica,2135,Atlanta,GA,33.652792,-84.395843,,,,Boxes
9/18/2020,9/21/2020,40.6782,-73.9442,Brooklyn,NY,11220,US,NorthAmerica,2566,Brooklyn,NY,40.6637372,-73.8604624,,,,Surprise Me
09/22/2020,,45.815,15.9819,Zagreb,Croatia (EU),10000,Croatia,Europe,6109,,,,,,,,Boxes
09/22/2020,9/25/2020,38.9897,-76.9378,college park,MD,20740,US,NorthAmerica,2438,Southern Maryland,MD,38.881318,-76.850687,,,,Surprise Me
09/22/2020,,38.4404,-122.7141,Santa Rosa ,CA,95401,US,NorthAmerica,48,San Francisco,CA,37.7790262,-122.4199061,,,,Surprise Me
09/22/2020,9/24/2020,37.3541,-121.9552,Santa Clara,CA,95050,US,NorthAmerica,39,San Jose,CA,37.3895163,-121.8877285,,09/25/2020,09/28/2020,Surprise Me
09/22/2020,9/25/2020,47.6101,-122.2015,Bellevue ,WA,98004,US,NorthAmerica,679,Seattle,WA,47.5069174,-122.2969524,,09/25/2020,09/28/2020,Surprise Me
09/22/2020,9/24/2020,37.8044,-122.2712,Oakland,CA,94612,US,NorthAmerica,8,Oakland,CA,37.806449,-122.299967,,,,Surprise Me
09/22/2020,,39.084,-76.7002,Odenton,Md ,21113,US,NorthAmerica,2449,Linthicum,MD,39.2096459,-76.67805,,,,Red Floral
09/22/2020,9/30/2020,50.1109,8.6821,Frankfurt,Hesse,65929,Germany,Europe,5674,,,,,,,,Boxes
09/22/2020,9/28/2020,42.3464,-71.1627,Brighton,MA,02135,US,NorthAmerica,2688,Boston,MA,42.3508036,-71.0536732,,,,Boxes
